City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Makakilo City,1,US,21-10-2020,70,21.35,-158.09,84.2,8.05
Arraial do Cabo,0,BR,21-10-2020,86,-22.97,-42.03,72.21,19.66
Kiryat Gat,12,IL,21-10-2020,100,31.61,34.76,73.0,1.99
Pevek,74,RU,21-10-2020,95,69.7,170.31,30.96,15.59
Wajima,20,JP,21-10-2020,52,37.4,136.9,66.2,9.17
Saldanha,0,ZA,21-10-2020,81,-33.01,17.94,42.8,4.7
Rikitea,28,PF,21-10-2020,76,-23.12,-134.97,73.92,9.62
Ushuaia,40,AR,21-10-2020,75,-54.8,-68.3,41.0,5.12
Bambous Virieux,40,MU,21-10-2020,83,-20.34,57.76,75.99,10.29
Grindavik,75,IS,21-10-2020,70,63.84,-22.43,35.6,5.82
Thompson,90,CA,21-10-2020,85,55.74,-97.86,24.8,2.24
Cape Town,0,ZA,21-10-2020,81,-33.93,18.42,51.01,3.36
Bluff,40,NZ,21-10-2020,63,-46.6,168.33,55.99,13.0
New Norfolk,97,AU,21-10-2020,52,-42.78,147.06,61.0,1.99
Béboto,3,TD,21-10-2020,75,8.27,16.94,70.88,2.71
Yulara,0,AU,21-10-2020,17,-25.24,130.99,93.2,3.36
Barrow,90,US,21-10-2020,86,71.29,-156.79,28.4,13.87
Palmer,75,US,21-10-2020,100,42.16,-72.33,60.8,4.7
Atuona,80,PF,21-10-2020,76,-9.8,-139.03,77.86,15.82
Ukholovo,0,RU,21-10-2020,58,53.79,40.49,35.01,10.2
Mossamedes,100,AO,21-10-2020,84,-15.2,12.15,68.29,8.28
Tasiilaq,100,GL,21-10-2020,97,65.61,-37.64,32.0,18.34
Sitka,75,US,21-10-2020,75,57.05,-135.33,42.8,2.86
Busselton,7,AU,21-10-2020,37,-33.65,115.33,72.0,3.83
Hermanus,0,ZA,21-10-2020,85,-34.42,19.23,51.01,1.99
Batemans Bay,100,AU,21-10-2020,57,-35.72,150.18,75.0,3.0
Hilo,90,US,21-10-2020,58,19.73,-155.09,82.4,8.05
Aswān,0,EG,21-10-2020,24,24.09,32.91,77.81,8.19
Lockhart,100,US,21-10-2020,89,28.62,-81.44,78.01,10.8
Leningradskiy,34,RU,21-10-2020,84,69.38,178.42,35.2,8.37
Albany,100,US,21-10-2020,87,42.6,-73.97,55.0,3.65
Kuopio,90,FI,21-10-2020,86,62.89,27.68,30.2,1.12
Laramie,90,US,21-10-2020,52,41.31,-105.59,50.0,16.11
Port Elizabeth,4,ZA,21-10-2020,87,-33.92,25.57,50.0,2.24
Tazovsky,100,RU,21-10-2020,98,67.47,78.7,20.44,16.75
Turukhansk,100,RU,21-10-2020,97,65.82,87.98,19.38,11.45
Longyearbyen,40,SJ,21-10-2020,68,78.22,15.64,26.6,6.93
Mar del Plata,0,AR,21-10-2020,87,-38.0,-57.56,52.0,6.11
Esperance,90,AU,21-10-2020,93,-33.87,121.9,60.8,13.87
Mataura,18,NZ,21-10-2020,63,-46.19,168.86,55.99,13.0
Jizan,0,SA,21-10-2020,74,17.33,42.67,80.6,4.7
Bilma,0,NE,21-10-2020,18,18.69,12.92,76.1,3.31
Vanavara,99,RU,21-10-2020,95,60.34,102.28,27.79,6.35
Soc Trang,40,VN,21-10-2020,88,9.6,105.98,82.4,5.82
Mahébourg,40,MU,21-10-2020,83,-20.41,57.7,73.4,10.29
Ranong,75,TH,21-10-2020,94,9.97,98.63,80.6,1.9
Mirny,90,RU,21-10-2020,85,62.54,113.96,19.4,8.95
